pericope_id,title,chapter,start_verse,end_verse,order
P001,A genealogia de Jesus Cristo,1,1,17,1
P002,O nascimento de Jesus Cristo,1,18,25,2
P003,A visita dos magos,2,1,12,1
P004,A fuga para o Egito,2,13,15,2
P005,A matança dos meninos,2,16,18,3
P006,O retorno do Egito,2,19,23,4
P007,A pregação de João Batista,3,1,6,1
P008,A repreensão de João aos fariseus e saduceus,3,7,12,2
P009,O batismo de Jesus,3,13,17,3
P010,A tentação de Jesus,4,1,11,1
P011,Jesus se estabelece em Cafarnaum,4,12,17,2
P012,A chamada dos primeiros discípulos,4,18,22,3
P013,Jesus prega e cura na Galileia,4,23,25,4
P014,As bem-aventuranças,5,1,12,1
P015,Sal da terra e luz do mundo,5,13,16,2
P016,Jesus e o cumprimento da Lei,5,17,20,3
P017,Contra o homicídio,5,21,26,4
P018,Contra o adultério,5,27,30,5
P019,Contra o divórcio,5,31,32,6
P020,Contra os juramentos,5,33,37,7
P021,Não resistir ao perverso,5,38,42,8
P022,Amar os inimigos,5,43,48,9
P023,Praticar a justiça em segredo: esmolas,6,1,4,1
P024,A oração em segredo,6,5,8,2
P025,A oração do Senhor (Pai Nosso),6,9,15,3
P026,O jejum em segredo,6,16,18,4
P027,Ajuntar tesouros no céu,6,19,21,5
P028,Os olhos como lâmpada do corpo,6,22,23,6
P029,Servir a Deus e não às riquezas,6,24,24,7
P030,Não andar ansioso,6,25,34,8
P031,Não julgar,7,1,5,1
P032,Não lançar pérolas aos porcos,7,6,6,2
P033,"Pedi, buscai, batei",7,7,12,3
P034,A porta estreita e a porta larga,7,13,14,4
P035,Os falsos profetas,7,15,20,5
P036,O verdadeiro e o falso discípulo,7,21,23,6
P037,A casa sobre a rocha e sobre a areia,7,24,27,7
P038,Conclusão do sermão,7,28,29,8
P039,A purificação do leproso,8,1,4,1
P040,A fé do centurião,8,5,13,2
P041,A cura da sogra de Pedro e outros enfermos,8,14,17,3
P042,O seguimento de Jesus,8,18,22,4
P043,A tempestade acalmada,8,23,27,5
P044,Os endemoninhados gadarenos,8,28,34,6
P045,A cura do paralítico,9,1,8,1
P046,A vocação de Mateus e os pecadores,9,9,13,2
P047,A questão do jejum,9,14,17,3
P048,A filha de Jairo e a mulher com fluxo de sangue,9,18,26,4
P049,Dois cegos e um mudo endemoninhado,9,27,34,5
P050,A compaixão de Jesus pelas multidões,9,35,38,6
P051,A missão dos doze,10,1,4,1
P052,Instruções para a missão,10,5,15,2
P053,Perseguições e perseverança,10,16,25,3
P054,Não temer,10,26,33,4
P055,Espada e divisão,10,34,39,5
P056,Recompensa aos que recebem os enviados,10,40,42,6
P057,João Batista envia mensageiros,11,1,6,1
P058,Jesus fala sobre João Batista,11,7,15,2
P059,A incredulidade das cidades,11,16,24,3
P060,O convite de Jesus aos cansados,11,25,30,4
P061,As espigas no sábado,12,1,8,1
P062,A cura do homem da mão ressequida,12,9,14,2
P063,O servo escolhido de Deus,12,15,21,3
P064,A blasfêmia contra o Espírito Santo,12,22,32,4
P065,Árvore e seus frutos; palavras e juízo,12,33,37,5
P066,O sinal de Jonas,12,38,42,6
P067,O espírito impuro que volta,12,43,45,7
P068,A verdadeira família de Jesus,12,46,50,8
P069,A parábola do semeador,13,1,9,1
P070,O propósito das parábolas,13,10,17,2
P071,A explicação da parábola do semeador,13,18,23,3
P072,A parábola do joio,13,24,30,4
P073,As parábolas do grão de mostarda e do fermento,13,31,33,5
P074,O uso de parábolas por Jesus,13,34,35,6
P075,A explicação da parábola do joio,13,36,43,7
P076,"As parábolas do tesouro, da pérola e da rede",13,44,50,8
P077,O escriba instruído no reino dos céus,13,51,52,9
P078,Jesus rejeitado em Nazaré,13,53,58,10
P079,A morte de João Batista,14,1,12,1
P080,A multiplicação dos pães,14,13,21,2
P081,Jesus anda sobre o mar,14,22,33,3
P082,Curas em Genesaré,14,34,36,4
P083,A tradição dos anciãos e a verdadeira impureza,15,1,20,1
P084,A fé da mulher cananeia,15,21,28,2
P085,A cura de muitos e a segunda multiplicação dos pães,15,29,39,3
P086,O pedido de um sinal,16,1,4,1
P087,O fermento dos fariseus e saduceus,16,5,12,2
P088,A confissão de Pedro,16,13,20,3
P089,O primeiro anúncio da paixão e o discipulado,16,21,28,4
P090,A transfiguração,17,1,8,1
P091,A cura do menino endemoninhado,17,9,18,2
P092,O segundo anúncio da paixão,17,19,23,3
P093,O imposto do templo,17,24,27,4
P094,Quem é o maior no reino dos céus,18,1,5,1
P095,Não fazer tropeçar os pequeninos,18,6,9,2
P096,A parábola da ovelha perdida,18,10,14,3
P097,A disciplina na comunidade,18,15,20,4
P098,O perdão ilimitado e o servo incompassivo,18,21,35,5
P099,A questão do divórcio,19,1,12,1
P100,Jesus abençoa as crianças,19,13,15,2
P101,O jovem rico,19,16,22,3
P102,A recompensa do discipulado,19,23,30,4
